Família,Fabricante,Foto,Marca e Modelo,Toner,Rendimento,PPM,Papel,Voltagem,Funções,Resolução,Memória (padrão/max),HDD,Duplex,Cap. de Papel (padrão/max),Peças,Memória e Cartão SD,NDD,OBS
Multi Laser Mono A4,Kyocera,,Kyocera Ecosys M2640idw/L,TK-1175,12k,40,A4,110v,"Impressão, Cópia,
Digitalização","1800 x 600 dpi*
1200 x 1200 dpi*",512MB/1.5GB,------------------,SIM,350/850,,CARTÃO SD + MEMORIA RAM 1GB,ACEITA SOLUÇÃO EMBARCADA,TEM WIFI
Multi Laser Mono A4,Kyocera,,Kyocera Ecosys M3655idn,TK-3182,21k,55,A4,110v,"Impressão, Cópia,
Digitalização e Fax","1200 x 1200 dpi*
",1GB/3GB,1GB/3GB,SIM,600/2600,,CARTÃO SD,ACEITA SOLUÇÃO EMBARCADA,EQUIVALENTE A MA5500
Multi Laser Mono A4,Kyocera,,Kyocera Ecosys M3145idn,TK-3162,12.5k,45,A4,110v,"Impressão, Cópia,
Digitalização","1200 x 1200 dpi*
",1GB/3GB,Opcional (SSD),SIM,600/2600,,CARTÃO SD,ACEITA SOLUÇÃO EMBARCADA,EQUIVALENTE A MA4500
Multi Laser Mono A4,Kyocera,,Kyocera MA4500ix,TK-3402,"12,5K",45,A4,110v,"Impressão, Cópia,
Digitalização",1200x1200dpi,"1,5GB/3,5GB",64gb/512gb,,500/2600,Kit de Manutenção: MK-3372 ,CARTÃO SD,ACEITA SOLUÇÃO EMBARCADA,EQUIVALENTE A M3145
Multi Laser Mono A4,Kyocera,,Kyocera MA5500ifx,TK-3432,21K,55,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200 x 1200 dpi,"1,5GB/3,5GB",64gb/512gb,SIM,,Kit de Manutenção: MK-3382,CARTÃO SD,ACEITA SOLUÇÃO EMBARCADA,EQUIVALENTE A M3655
Multi Laser Mono A4,Brother,,Brother MFC6912,TN-3662 / TN-3612,18K,50,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200 x 1200 dpi,2GB,------------------,SIM,520,DR-3602,,,
Multi Laser Mono A4,Ricoh,,Ricoh M320,SP3710.                    Ref: 408284,6.4k,32,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200x1200dpi,256MB,------------------,SIM,300/550,,,,EQUIVALENTE A SP3710
Multi Laser Mono A4,HP,,HP M428 ,CF258x  ,10k,38,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200x1200dpi,512MB,------------------,SIM,100/350,,,,
Multi Laser Mono A4,HP,,HP MFP4103 FDW,W1030XC,9.7k,40,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200x1200dpi,512MB,------------------,SIM,100/350,,,,
Multi Laser Mono A4,Ricoh,,Ricoh SP 3510SF,3510,6.4k/10k,30,A4,110v,"Impressão, Cópia,
Digitalização e Fax ",1200X1200dpi,128MB,------------------,SIM,250/500,,,,
Multi Laser Mono A4,Ricoh,,Ricoh SP 3710SF,SP3710.                    Ref: 408284,6.4k/10k,34,A4,110v,"Impressão, Cópia,
Digitalização e Fax",1200X1200dpi,256MB,------------------,SIM,250/550,,,,
